tensor(2.5967, grad_fn=<HuberLossBackward0>)
tensor(17.5901, grad_fn=<HuberLossBackward0>)
tensor(19.3447, grad_fn=<HuberLossBackward0>)
tensor(10.8503, grad_fn=<HuberLossBackward0>)
tensor(10.8815, grad_fn=<HuberLossBackward0>)
tensor(12.7583, grad_fn=<HuberLossBackward0>)
tensor(7.2635, grad_fn=<HuberLossBackward0>)
tensor(11.2675, grad_fn=<HuberLossBackward0>)
tensor(13.9774, grad_fn=<HuberLossBackward0>)
tensor(17.8041, grad_fn=<HuberLossBackward0>)
tensor(22.3896, grad_fn=<HuberLossBackward0>)
tensor(20.5038, grad_fn=<HuberLossBackward0>)
tensor(23.2914, grad_fn=<HuberLossBackward0>)
tensor(19.4505, grad_fn=<HuberLossBackward0>)
tensor(7.0993, grad_fn=<HuberLossBackward0>)
tensor(5.6818, grad_fn=<HuberLossBackward0>)
tensor(6.4634, grad_fn=<HuberLossBackward0>)
tensor(16.9735, grad_fn=<HuberLossBackward0>)
tensor(21.4207, grad_fn=<HuberLossBackward0>)
tensor(6.4052, grad_fn=<HuberLossBackward0>)
tensor(7.2794, grad_fn=<HuberLossBackward0>)
tensor(6.3696, grad_fn=<HuberLossBackward0>)
tensor(7.2548, grad_fn=<HuberLossBackward0>)
tensor(38.3808, grad_fn=<HuberLossBackward0>)
tensor(38.5663, grad_fn=<HuberLossBackward0>)
tensor(5.5994, grad_fn=<HuberLossBackward0>)
tensor(6.4107, grad_fn=<HuberLossBackward0>)
tensor(39.6238, grad_fn=<HuberLossBackward0>)
tensor(3.7341, grad_fn=<HuberLossBackward0>)
tensor(24.8145, grad_fn=<HuberLossBackward0>)
tensor(6.9049, grad_fn=<HuberLossBackward0>)
tensor(22.6218, grad_fn=<HuberLossBackward0>)
tensor(22.0853, grad_fn=<HuberLossBackward0>)
tensor(7.7071, grad_fn=<HuberLossBackward0>)
tensor(5.3587, grad_fn=<HuberLossBackward0>)
tensor(42.2564, grad_fn=<HuberLossBackward0>)
tensor(28.1957, grad_fn=<HuberLossBackward0>)
tensor(7.4702, grad_fn=<HuberLossBackward0>)
tensor(21.2036, grad_fn=<HuberLossBackward0>)
tensor(22.1662, grad_fn=<HuberLossBackward0>)
tensor(22.8740, grad_fn=<HuberLossBackward0>)
tensor(4.6979, grad_fn=<HuberLossBackward0>)
tensor(21.2766, grad_fn=<HuberLossBackward0>)
tensor(4.8315, grad_fn=<HuberLossBackward0>)
tensor(21.6682, grad_fn=<HuberLossBackward0>)
tensor(21.2542, grad_fn=<HuberLossBackward0>)
tensor(38.7408, grad_fn=<HuberLossBackward0>)
tensor(20.5841, grad_fn=<HuberLossBackward0>)
tensor(17.8738, grad_fn=<HuberLossBackward0>)
tensor(5.4441, grad_fn=<HuberLossBackward0>)
tensor(5.0273, grad_fn=<HuberLossBackward0>)
tensor(36.7044, grad_fn=<HuberLossBackward0>)
tensor(51.5516, grad_fn=<HuberLossBackward0>)
tensor(18.7087, grad_fn=<HuberLossBackward0>)
tensor(32.0008, grad_fn=<HuberLossBackward0>)
tensor(22.6762, grad_fn=<HuberLossBackward0>)
tensor(4.6793, grad_fn=<HuberLossBackward0>)
tensor(17.8904, grad_fn=<HuberLossBackward0>)
tensor(34.7957, grad_fn=<HuberLossBackward0>)
tensor(33.4002, grad_fn=<HuberLossBackward0>)
tensor(7.5175, grad_fn=<HuberLossBackward0>)
tensor(19.8381, grad_fn=<HuberLossBackward0>)
tensor(16.6777, grad_fn=<HuberLossBackward0>)
tensor(22.3246, grad_fn=<HuberLossBackward0>)
tensor(45.1648, grad_fn=<HuberLossBackward0>)
tensor(22.6191, grad_fn=<HuberLossBackward0>)
tensor(17.8916, grad_fn=<HuberLossBackward0>)
tensor(51.2399, grad_fn=<HuberLossBackward0>)
tensor(23.3780, grad_fn=<HuberLossBackward0>)
tensor(22.5121, grad_fn=<HuberLossBackward0>)
tensor(26.1311, grad_fn=<HuberLossBackward0>)
tensor(3.9549, grad_fn=<HuberLossBackward0>)
tensor(4.1885, grad_fn=<HuberLossBackward0>)
tensor(5.7136, grad_fn=<HuberLossBackward0>)
tensor(26.6662, grad_fn=<HuberLossBackward0>)
tensor(23.2585, grad_fn=<HuberLossBackward0>)
tensor(24.0073, grad_fn=<HuberLossBackward0>)
tensor(4.7192, grad_fn=<HuberLossBackward0>)
tensor(21.7728, grad_fn=<HuberLossBackward0>)
tensor(21.7352, grad_fn=<HuberLossBackward0>)
tensor(8.0456, grad_fn=<HuberLossBackward0>)
tensor(5.7567, grad_fn=<HuberLossBackward0>)
tensor(3.8601, grad_fn=<HuberLossBackward0>)
tensor(21.9525, grad_fn=<HuberLossBackward0>)
tensor(24.9254, grad_fn=<HuberLossBackward0>)
tensor(66.2054, grad_fn=<HuberLossBackward0>)
tensor(64.0290, grad_fn=<HuberLossBackward0>)
tensor(8.1645, grad_fn=<HuberLossBackward0>)
tensor(25.2630, grad_fn=<HuberLossBackward0>)
tensor(9.4869, grad_fn=<HuberLossBackward0>)
tensor(6.4083, grad_fn=<HuberLossBackward0>)
tensor(29.0559, grad_fn=<HuberLossBackward0>)
tensor(26.3202, grad_fn=<HuberLossBackward0>)
tensor(6.6762, grad_fn=<HuberLossBackward0>)
